Summary by Sample
Dataset Name:, C:\Elandata\Dataset\1403-11-29
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,BLANK FX
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Pb208,1.45e+003,,,cps,1.94e-003,,,ppm
Rb85,1.82e+003,,,cps,2.1e-003,,,ppm
Se82,50.1,,,cps,4.46e-003,,,ppm
Ag107,985,,,cps,1.81e-003,,,ppm
Te130,73.3,,,cps,1.82e-003,,,ppm
Ta181,-1.18,,,cps,-3.7e-007,,,ppm
Tl205,1.33e+003,,,cps,1.1e-003,,,ppm
Ge74,8.37,,,cps,3.71e-005,,,ppm
Hf180,-2.12,,,cps,-6.1e-006,,,ppm
Mo98,-2.22,,,cps,-8.29e-006,,,ppm
Nb93,-7.37,,,cps,-3.36e-006,,,ppm
Sb121,-2.11,,,cps,-7.38e-006,,,ppm
Sn118,-1.05,,,cps,-1.26e-006,,,ppm
W184,-14.7,,,cps,-6.04e-005,,,ppm
Zr90,-3.47,,,cps,-5.76e-006,,,ppm
As75,254,,,cps,3.04e-003,,,ppm
V51,1.17e+003,,,cps,2.51e-003,,,ppm
Cr52,1.64e+003,,,cps,3.02e-003,,,ppm
Ni60,491,,,cps,2.78e-003,,,ppm
Cu63,991,,,cps,2.54e-003,,,ppm
Zn66,163,,,cps,1.6e-003,,,ppm
Th232,-11.6,,,cps,-1.33e-005,,,ppm
Sc45,-134,,,cps,-1.48e-004,,,ppm
Y89,12.6,,,cps,1.18e-005,,,ppm
La139,5.26,,,cps,5.02e-006,,,ppm
Ce140,16.1,,,cps,1.77e-005,,,ppm
Pr141,-2.62,,,cps,-2.43e-006,,,ppm
Nd142,6.74,,,cps,2.29e-005,,,ppm
Sm152,6.73e-002,,,cps,2.17e-007,,,ppm
Eu153,1.35e-005,,,cps,2.31e-011,,,ppm
Gd158,4.14,,,cps,1.43e-005,,,ppm
Tb159,10.4,,,cps,9.41e-006,,,ppm
Dy164,-20.2,,,cps,-6.71e-005,,,ppm
Ho165,-4.09,,,cps,-3.87e-006,,,ppm
Er166,-6.96,,,cps,-1.92e-005,,,ppm
Tm169,-3.16,,,cps,-2.88e-006,,,ppm
Yb174,-4.13,,,cps,-1.13e-005,,,ppm
Lu175,-9.34,,,cps,-9.51e-006,,,ppm
U238,-9.47,,,cps,-1.06e-005,,,ppm
Ga69,1.32e+003,,,cps,1.23e-003,,,ppm
Sample ID:,MIX2  8
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,2.,,,cps,2.11e-005,,,ppm
Bi209,981,,,cps,1.07e-003,,,ppm
Cd111,12.6,,,cps,6.95e-005,,,ppm
Cs133,108,,,cps,8.02e-005,,,ppm
Co59,62.1,,,cps,5.86e-005,,,ppm
Pb208,8.62e+003,,,cps,1.15e-002,,,ppm
Rb85,100,,,cps,1.15e-004,,,ppm
Se82,30.2,,,cps,2.69e-003,,,ppm
Ag107,3.07e+003,,,cps,5.64e-003,,,ppm
Te130,149,,,cps,3.71e-003,,,ppm
Ta181,6.1e+003,,,cps,1.91e-003,,,ppm
Tl205,60.,,,cps,4.96e-005,,,ppm
Ge74,1.9e+003,,,cps,8.42e-003,,,ppm
Hf180,2.85e+003,,,cps,8.2e-003,,,ppm
Mo98,2.33e+003,,,cps,8.69e-003,,,ppm
Nb93,1.06e+004,,,cps,4.85e-003,,,ppm
Sb121,2.52e+003,,,cps,8.85e-003,,,ppm
Sn118,2.91e+003,,,cps,3.48e-003,,,ppm
W184,2.16e+003,,,cps,8.87e-003,,,ppm
Zr90,5.07e+003,,,cps,8.41e-003,,,ppm
As75,8.04e+003,,,cps,9.63e-002,,,ppm
V51,-1.22e+004,,,cps,-2.63e-002,,,ppm
Cr52,9.25e+003,,,cps,1.71e-002,,,ppm
Ni60,311,,,cps,1.76e-003,,,ppm
Cu63,1.31e+003,,,cps,3.35e-003,,,ppm
Zn66,504,,,cps,4.96e-003,,,ppm
Th232,13.7,,,cps,1.57e-005,,,ppm
Sc45,120,,,cps,1.33e-004,,,ppm
Y89,13.7,,,cps,1.28e-005,,,ppm
La139,61.1,,,cps,5.82e-005,,,ppm
Ce140,151,,,cps,1.65e-004,,,ppm
Pr141,13.9,,,cps,1.29e-005,,,ppm
Nd142,2.39,,,cps,8.15e-006,,,ppm
Sm152,-1.03,,,cps,-3.3e-006,,,ppm
Eu153,5.13,,,cps,8.76e-006,,,ppm
Gd158,5.06,,,cps,1.75e-005,,,ppm
Tb159,6.13,,,cps,5.56e-006,,,ppm
Dy164,-16.9,,,cps,-5.6e-005,,,ppm
Ho165,-13.6,,,cps,-1.28e-005,,,ppm
Er166,8.35,,,cps,2.3e-005,,,ppm
Tm169,1.05,,,cps,9.61e-007,,,ppm
Yb174,-8.76,,,cps,-2.39e-005,,,ppm
Lu175,-4.67,,,cps,-4.75e-006,,,ppm
U238,-3.16,,,cps,-3.54e-006,,,ppm
Ga69,401,,,cps,3.74e-004,,,ppm
Sample ID:,mix2 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,-2.,,,cps,-2.11e-005,,,ppm
Bi209,138,,,cps,1.51e-004,,,ppm
Cd111,7.37,,,cps,4.05e-005,,,ppm
Cs133,21.1,,,cps,1.56e-005,,,ppm
Co59,17.9,,,cps,1.69e-005,,,ppm
Pb208,1.81e+004,,,cps,2.43e-002,,,ppm
Rb85,28.4,,,cps,3.28e-005,,,ppm
Se82,12.3,,,cps,1.1e-003,,,ppm
Ag107,1.16e+003,,,cps,2.13e-003,,,ppm
Te130,75.6,,,cps,1.88e-003,,,ppm
Ta181,1.5e+004,,,cps,4.69e-003,,,ppm
Tl205,67.4,,,cps,5.57e-005,,,ppm
Ge74,4.53e+003,,,cps,2.01e-002,,,ppm
Hf180,6.72e+003,,,cps,1.94e-002,,,ppm
Mo98,5.09e+003,,,cps,1.9e-002,,,ppm
Nb93,2.14e+004,,,cps,9.74e-003,,,ppm
Sb121,5.64e+003,,,cps,1.98e-002,,,ppm
Sn118,5.42e+003,,,cps,6.49e-003,,,ppm
W184,4.45e+003,,,cps,1.82e-002,,,ppm
Zr90,1.15e+004,,,cps,1.91e-002,,,ppm
As75,6.26e+003,,,cps,7.5e-002,,,ppm
V51,-3.59e+003,,,cps,-7.71e-003,,,ppm
Cr52,6.33e+003,,,cps,1.17e-002,,,ppm
Ni60,273,,,cps,1.54e-003,,,ppm
Cu63,812,,,cps,2.08e-003,,,ppm
Zn66,220,,,cps,2.16e-003,,,ppm
Th232,-2.11,,,cps,-2.42e-006,,,ppm
Sc45,167,,,cps,1.85e-004,,,ppm
Y89,22.1,,,cps,2.07e-005,,,ppm
La139,40.,,,cps,3.81e-005,,,ppm
Ce140,74.5,,,cps,8.17e-005,,,ppm
Pr141,-1.02,,,cps,-9.47e-007,,,ppm
Nd142,3.92,,,cps,1.33e-005,,,ppm
Sm152,9.43,,,cps,3.04e-005,,,ppm
Eu153,-3.59,,,cps,-6.13e-006,,,ppm
Gd158,5.07,,,cps,1.75e-005,,,ppm
Tb159,5.11,,,cps,4.63e-006,,,ppm
Dy164,-22.2,,,cps,-7.37e-005,,,ppm
Ho165,-2.31,,,cps,-2.19e-006,,,ppm
Er166,15.3,,,cps,4.22e-005,,,ppm
Tm169,-5.26,,,cps,-4.8e-006,,,ppm
Yb174,1.7,,,cps,4.63e-006,,,ppm
Lu175,-2.18,,,cps,-2.22e-006,,,ppm
U238,-10.5,,,cps,-1.18e-005,,,ppm
Ga69,117,,,cps,1.09e-004,,,ppm
Sample ID:,mix3  5
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,4.,,,cps,4.21e-005,,,ppm
Bi209,3.18,,,cps,3.47e-006,,,ppm
Cd111,-1.05,,,cps,-5.79e-006,,,ppm
Cs133,3.16,,,cps,2.34e-006,,,ppm
Co59,-9.47,,,cps,-8.94e-006,,,ppm
Pb208,-125,,,cps,-1.68e-004,,,ppm
Rb85,9.47,,,cps,1.09e-005,,,ppm
Se82,68.1,,,cps,6.06e-003,,,ppm
Ag107,-40.,,,cps,-7.35e-005,,,ppm
Te130,16.9,,,cps,4.19e-004,,,ppm
Ta181,7.15,,,cps,2.24e-006,,,ppm
Tl205,-8.42,,,cps,-6.96e-006,,,ppm
Ge74,10.3,,,cps,4.57e-005,,,ppm
Hf180,-3.16,,,cps,-9.11e-006,,,ppm
Mo98,-2.09,,,cps,-7.81e-006,,,ppm
Nb93,2.32e-006,,,cps,1.06e-012,,,ppm
Sb121,-1.05,,,cps,-3.69e-006,,,ppm
Sn118,4.21,,,cps,5.04e-006,,,ppm
W184,2.11,,,cps,8.65e-006,,,ppm
Zr90,8.98e-006,,,cps,1.49e-011,,,ppm
As75,208,,,cps,2.49e-003,,,ppm
V51,-75.8,,,cps,-1.63e-004,,,ppm
Cr52,-469,,,cps,-8.66e-004,,,ppm
Ni60,-22.9,,,cps,-1.3e-004,,,ppm
Cu63,-166,,,cps,-4.26e-004,,,ppm
Zn66,-153,,,cps,-1.5e-003,,,ppm
Th232,-7.37,,,cps,-8.46e-006,,,ppm
Sc45,-144,,,cps,-1.6e-004,,,ppm
Y89,-1.05,,,cps,-9.85e-007,,,ppm
La139,-18.9,,,cps,-1.81e-005,,,ppm
Ce140,-12.9,,,cps,-1.41e-005,,,ppm
Pr141,-12.7,,,cps,-1.18e-005,,,ppm
Nd142,-1.45,,,cps,-4.93e-006,,,ppm
Sm152,5.2,,,cps,1.67e-005,,,ppm
