Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Zn66,1.59e+004,,,cps,4.68e-002,,,ppm
Th232,232,,,cps,6.92e-005,,,ppm
Sc45,-387,,,cps,-3.29e-004,,,ppm
Y89,126,,,cps,3.18e-005,,,ppm
La139,796,,,cps,1.68e-004,,,ppm
Ce140,1.63e+003,,,cps,3.88e-004,,,ppm
Pr141,214,,,cps,4.08e-005,,,ppm
Nd142,236,,,cps,1.67e-004,,,ppm
Sm152,65.8,,,cps,4.33e-005,,,ppm
Eu153,21.5,,,cps,7.19e-006,,,ppm
Gd158,58.7,,,cps,4.08e-005,,,ppm
Tb159,19.4,,,cps,3.35e-006,,,ppm
Dy164,13.5,,,cps,8.22e-006,,,ppm
Ho165,10.6,,,cps,1.77e-006,,,ppm
Er166,6.13,,,cps,3.07e-006,,,ppm
Tm169,1.05,,,cps,1.74e-007,,,ppm
Yb174,-5.16,,,cps,-2.67e-006,,,ppm
Lu175,16.5,,,cps,3.08e-006,,,ppm
U238,78.9,,,cps,2.31e-005,,,ppm
Ga69,2.25e+003,,,cps,1.31e-003,,,ppm
Sample ID:,mix2 20
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,26.,,,cps,1.29e-004,,,ppm
Bi209,1.59e+003,,,cps,9.99e-004,,,ppm
Cd111,84.2,,,cps,2.11e-004,,,ppm
Cs133,88.4,,,cps,1.91e-005,,,ppm
Co59,997,,,cps,4.63e-004,,,ppm
Pb208,1.42e+004,,,cps,8.08e-003,,,ppm
Rb85,318,,,cps,1.2e-004,,,ppm
Se82,89.6,,,cps,2.63e-003,,,ppm
Ag107,1.34e+004,,,cps,8.02e-003,,,ppm
Te130,796,,,cps,2.62e-003,,,ppm
Ta181,5.8e+004,,,cps,1.59e-002,,,ppm
Tl205,265,,,cps,1.08e-004,,,ppm
Ge74,1.24e+004,,,cps,1.91e-002,,,ppm
Hf180,3.48e+004,,,cps,1.94e-002,,,ppm
Mo98,1.47e+004,,,cps,1.82e-002,,,ppm
Nb93,5.44e+004,,,cps,1.97e-002,,,ppm
